mnemonic;opcode;encoding;operands;privilege;latency;throughput;pipeline_stage;isa_family;notes;source_ref
TPM_SEAL;0x0031;S;blob,policy;priv;300;0.01;SEC;HYBRID;Seal data to TPM;internal
TPM_UNSEAL;0x0032;S;blob;priv;300;0.01;SEC;HYBRID;Unseal TPM data;internal
SIGN_VERIFY;0x0033;S;data,sig;priv;150;0.02;CRYPTO;HYBRID;Verify signature;internal
VERIFY_SIGNATURE;0x0034;S;pubkey,data,sig;priv;150;0.02;CRYPTO;HYBRID;Signature verification;internal
LOAD_MODULE;0x0035;S;path;priv;100;0.01;SYS;HYBRID;Load kernel module;internal
UNLOAD_MODULE;0x0036;S;name;priv;80;0.02;SYS;HYBRID;Unload kernel module;internal
MODULE_SIGN;0x0037;S;module,cert;priv;200;0.01;SEC;HYBRID;Sign module image;internal
MODULE_VERIFY;0x0038;S;module;priv;120;0.02;SEC;HYBRID;Verify module signature;internal
KASLR_RESEED;0x0039;S;seed;priv;50;0.1;SYS;HYBRID;Reseed KASLR entropy;internal
RNG_READ;0x003A;S;out,len;user;5;2;SYS;HYBRID;Read kernel RNG;internal
RNG_SEED;0x003B;S;seed;priv;100;0.01;SYS;HYBRID;Seed RNG;internal
HASH;0x003C;R;rd,rs;user;10;0.2;CRYPTO;R8192;Generic lane-wise hash;internal
SHA256;0x003D;R;rd,rs;user;40;0.05;CRYPTO;R8192;SHA-256 wide lanes;internal
SHA512;0x003E;R;rd,rs;user;80;0.02;CRYPTO;R8192;SHA-512 wide lanes;internal
AESENC;0x003F;R;rd,rs;user;12;0.2;CRYPTO;R8192;AES encrypt round;internal
AESDEC;0x0040;R;rd,rs;user;12;0.2;CRYPTO;R8192;AES decrypt round;internal
RSAKEYGEN;0x0041;S;params;priv;1000;0.001;CRYPTO;R8192;RSA key generation helper;internal
RSAMOD;0x0042;R;rd,rs,rt;priv;500;0.01;CRYPTO;R8192;RSA modular operation;internal
ECC_POINT_ADD;0x0043;R;rd,rs,rt;priv;200;0.02;CRYPTO;R8192;ECC point addition;internal
ECC_POINT_MUL;0x0044;R;rd,rs,rt;priv;600;0.01;CRYPTO;R8192;ECC scalar multiplication;internal
RNG_WAIT;0x0045;S;timeout;user;0;0;SYS;HYBRID;Wait for RNG readiness;internal
TRAP;0x0046;S;code;priv;1;1;CONTROL;HYBRID;Synchronous trap;internal
SYS_CALL;0x0047;S;num,args;user;5;1;SYS;HYBRID;System call entry;internal
SVC;0x0048;S;num,args;priv;5;1;SYS;HYBRID;Supervisor call;internal
IRQ_ENABLE;0x0049;S;irq;priv;2;2;SYS;HYBRID;Enable IRQ;internal
IRQ_DISABLE;0x004A;S;irq;priv;2;2;SYS;HYBRID;Disable IRQ;internal
CACHE_FLUSH;0x004B;S;addr,len;priv;50;0.1;SYS;HYBRID;Flush cache range;internal
CACHE_INVALIDATE;0x004C;S;addr,len;priv;40;0.1;SYS;HYBRID;Invalidate cache range;internal
TRACE_START;0x004D;S;mask;priv;5;1;SYS;HYBRID;Start tracing;internal
TRACE_STOP;0x004E;S;mask;priv;5;1;SYS;HYBRID;Stop tracing;internal
DEBUG_BREAK;0x004F;S;code;priv;1;1;SYS;HYBRID;Debugger break;internal
WATCHPOINT_SET;0x0050;S;addr,len;priv;3;1;SYS;HYBRID;Set watchpoint;internal
WATCHPOINT_CLEAR;0x0051;S;addr;priv;3;1;SYS;HYBRID;Clear watchpoint;internal
PERF_EVENT;0x0052;S;event,op;priv;5;1;SYS;HYBRID;Performance event control;internal
POWER_STATE;0x0053;S;state;priv;200;0.01;SYS;HYBRID;Set power state;internal
CLOCK_GET;0x0054;S;out;user;1;10;SYS;HYBRID;Get system clock;internal
TIMER_SET;0x0055;S;timeout,cb;user;2;2;SYS;HYBRID;Set timer;internal
TIMER_CANCEL;0x0056;S;timer_id;user;2;2;SYS;HYBRID;Cancel timer;internal
CONTEXT_SWITCH;0x0057;S;to_tid;priv;500;0.01;SYS;HYBRID;Context switch helper;internal
TASK_CREATE;0x0058;S;entry,arg,flags;user;200;0.01;SYS;HYBRID;Create task;internal
TASK_EXIT;0x0059;S;status;user;50;0.1;SYS;HYBRID;Terminate task;internal
TASK_YIELD;0x005A;S;;user;1;10;SYS;HYBRID;Yield CPU;internal
TASK_JOIN;0x005B;S;tid;user;100;0.02;SYS;HYBRID;Join task;internal
LOCK_ACQUIRE;0x005C;S;lock_id;user;5;1;SYS;HYBRID;Acquire lock;internal
LOCK_RELEASE;0x005D;S;lock_id;user;2;2;SYS;HYBRID;Release lock;internal
RCU_READ_LOCK;0x005E;S;;user;1;10;SYS;HYBRID;RCU read lock;internal
RCU_READ_UNLOCK;0x005F;S;;user;1;10;SYS;HYBRID;RCU read unlock;internal
RCU_SYNCHRONIZE;0x0060;S;;priv;1000;0.001;SYS;HYBRID;RCU grace period;internal
SLAB_ALLOC;0x0061;S;size;priv;20;0.1;MEM;HYBRID;Allocate slab object;internal
SLAB_FREE;0x0062;S;ptr;priv;10;0.2;MEM;HYBRID;Free slab object;internal
PAGE_ALLOC;0x0063;S;npages;priv;50;0.05;MEM;HYBRID;Allocate physical pages;internal
PAGE_FREE;0x0064;S;addr;priv;30;0.1;MEM;HYBRID;Free physical pages;internal
KMAP;0x0065;S;phys,len;priv;10;0.2;MEM;HYBRID;Map physical pages;internal
KUNMAP;0x0066;S;vaddr;priv;5;0.5;MEM;HYBRID;Unmap kernel pages;internal
USER_COPY_FROM;0x0067;S;dst,src,len;priv;20;0.1;SYS;HYBRID;Safe copy from user;internal
USER_COPY_TO;0x0068;S;dst,src,len;priv;20;0.1;SYS;HYBRID;Safe copy to user;internal
PIN_PAGES_IOCTL;0x0069;S;req;priv;120;0.01;SYS;SPOTNIK;IOCTL pin pages;internal
MAP_FRAME;0x006A;S;frame_id,dev;priv;40;0.02;DMA;SPOTNIK;Map frame;internal
UNMAP_FRAME;0x006B;S;frame_id;priv;30;0.02;DMA;SPOTNIK;Unmap frame;internal
RECLAIM_FRAMES;0x006C;S;queue;user;10;0.5;IO;SPOTNIK;Reclaim completed frames;internal
GET_EVENTFD;0x006D;S;queue;user;2;2;IO;SPOTNIK;Get queue eventfd;internal
NET_POLL;0x006E;S;timeout;user;5;1;IO;SPOTNIK;Poll network events;internal
NET_CONFIG;0x006F;S;ifname,params;priv;20;0.1;IO;SPOTNIK;Configure network backend;internal
FS_OPEN;0x0070;M;path,flags;user;20;0.2;VFS;VFS;Open file;internal
FS_READ;0x0071;M;fd,buf,len;user;30;0.2;VFS;VFS;Read file;internal
FS_WRITE;0x0072;M;fd,buf,len;user;30;0.2;VFS;VFS;Write file;internal
FS_CLOSE;0x0073;M;fd;user;5;2;VFS;VFS;Close file;internal
FS_STAT;0x0074;M;path,out;user;10;1;VFS;VFS;Stat file;internal
FS_SYNC;0x0075;M;fd;user;100;0.01;VFS;VFS;Sync file;internal
VFS_MOUNT;0x0076;S;source,target,opts;priv;200;0.01;VFS;VFS;Mount filesystem;internal
VFS_UNMOUNT;0x0077;S;target;priv;150;0.01;VFS;VFS;Unmount filesystem;internal
VFS_LOOKUP;0x0078;M;dir,name;user;10;1;VFS;VFS;Lookup directory entry;internal
VFS_CREATE;0x0079;M;path,mode;user;30;0.2;VFS;VFS;Create file;internal
VFS_REMOVE;0x007A;M;path;user;30;0.2;VFS;VFS;Remove file;internal
VFS_RENAME;0x007B;M;oldpath,newpath;user;50;0.1;VFS;VFS;Rename file;internal
VFS_CHMOD;0x007C;M;path,mode;user;10;1;VFS;VFS;Change mode;internal
VFS_CHOWN;0x007D;M;path,uid,gid;user;10;1;VFS;VFS;Change owner;internal
VFS_TRUNCATE;0x007E;M;path,size;user;30;0.2;VFS;VFS;Truncate file;internal
VFS_LINK;0x007F;M;target,linkpath;user;30;0.2;VFS;VFS;Create hard link;internal
VFS_SYMLINK;0x0080;M;target,linkpath;user;30;0.2;VFS;VFS;Create symlink;internal
VFS_READDIR;0x0081;M;dir,buf;user;40;0.2;VFS;VFS;Read directory;internal
VFS_IOCTL;0x0082;S;fd,code,buf;user;10;1;VFS;VFS;Filesystem ioctl;internal
VFS_GETATTR;0x0083;M;path,out;user;10;1;VFS;VFS;Get attributes;internal
VFS_SETATTR;0x0084;M;path,attrs;user;20;0.5;VFS;VFS;Set attributes;internal
NDB_TABLE_INSERT;0x0085;M;table,row;user;50;0.1;DB;NDB;Insert Nucleus DB row;internal
NDB_TABLE_GET;0x0086;M;table,key;user;30;0.2;DB;NDB;Get Nucleus DB row;internal
NDB_SNAPSHOT;0x0087;S;out;priv;500;0.01;DB;NDB;Create DB snapshot;internal
HIVE_SET;0x0088;M;key,value;user;10;1;DB;HIVE;Set registry key;internal
HIVE_GET;0x0089;M;key;user;5;2;DB;HIVE;Get registry key;internal
HIVE_DELETE;0x008A;M;key;user;10;1;DB;HIVE;Delete registry key;internal
HIVE_SNAPSHOT;0x008B;S;out;priv;200;0.01;DB;HIVE;Snapshot registry;internal
GPU_SUBMIT;0x008C;S;cmd_buf;user;5;1;GPU;AURORA;Submit GPU command buffer;internal
GPU_WAIT;0x008D;S;fence;user;10;0.5;GPU;AURORA;Wait GPU fence;internal
EGL_IMPORT;0x008E;S;fd,fmt;user;20;0.1;GPU;AURORA;Import EGL image;internal
EGL_EXPORT;0x008F;S;img;user;20;0.1;GPU;AURORA;Export EGL image;internal
DMABUF_IMPORT;0x0090;S;fd;user;10;0.5;GPU;AURORA;Import DMA-BUF;internal
DMABUF_EXPORT;0x0091;S;img;user;10;0.5;GPU;AURORA;Export DMA-BUF;internal
PIPEWIRE_PUBLISH;0x0092;S;stream;user;5;1;IO;AURORA;Publish PipeWire stream;internal
PIPEWIRE_SUBSCRIBE;0x0093;S;stream;user;5;1;IO;AURORA;Subscribe PipeWire stream;internal
AUDIO_PLAY;0x0094;S;buf,len;user;5;1;IO;AURORA;Play audio buffer;internal
AUDIO_STOP;0x0095;S;stream;user;2;2;IO;AURORA;Stop audio stream;internal
VIDEO_ENCODE;0x0096;S;frame,params;user;200;0.01;GPU;AURORA;Encode video frame;internal
VIDEO_DECODE;0x0097;S;stream;user;150;0.02;GPU;AURORA;Decode video stream;internal
GPU_COMPOSITE;0x0098;S;layers;user;30;0.2;GPU;AURORA;Composite desktop layers;internal
GPU_BLIT;0x0099;S;src,dst;user;5;1;GPU;AURORA;Blit texture;internal
GPU_CLEAR;0x009A;S;rt,color;user;2;10;GPU;AURORA;Clear render target;internal
SHADER_COMPILE;0x009B;S;src,opts;priv;500;0.01;GPU;AURORA;Compile shader;internal
SHADER_LINK;0x009C;S;objs;priv;200;0.01;GPU;AURORA;Link shader objects;internal
SHADER_BIND;0x009D;S;prog;user;1;10;GPU;AURORA;Bind shader program;internal
SHADER_UNBIND;0x009E;S;prog;user;1;10;GPU;AURORA;Unbind shader program;internal
TEXTURE_UPLOAD;0x009F;M;tex,buf;user;50;0.1;GPU;AURORA;Upload texture;internal
TEXTURE_DOWNLOAD;0x00A0;M;tex,buf;user;80;0.05;GPU;AURORA;Download texture;internal
PBO_MAP;0x00A1;S;pbo;user;5;2;GPU;AURORA;Map PBO;internal
PBO_UNMAP;0x00A2;S;pbo;user;5;2;GPU;AURORA;Unmap PBO;internal
PBO_UPLOAD;0x00A3;M;pbo,buf;user;30;0.2;GPU;AURORA;Upload via PBO;internal
PBO_DOWNLOAD;0x00A4;M;pbo,buf;user;40;0.15;GPU;AURORA;Download via PBO;internal
SSAO_PASS;0x00A5;S;gpos,gnorm;user;60;0.1;GPU;AURORA;SSAO pass;internal
TILED_LIGHT_PASS;0x00A6;S;gbuffer;user;80;0.05;GPU;AURORA;Tiled lighting pass;internal
POSTPROCESS_PASS;0x00A7;S;input;user;30;0.2;GPU;AURORA;Post-process pass;internal
PRESENT_FRAME;0x00A8;S;frame;user;5;1;GPU;AURORA;Present frame;internal
FRAMEBUFFER_BIND;0x00A9;S;fb;user;1;10;GPU;AURORA;Bind framebuffer;internal
FRAMEBUFFER_UNBIND;0x00AA;S;fb;user;1;10;GPU;AURORA;Unbind framebuffer;internal
SWAP_BUFFERS;0x00AB;S;wnd;user;2;5;GPU;AURORA;Swap buffers;internal
VSYNC_WAIT;0x00AC;S;timeout;user;16;0.06;GPU;AURORA;Wait vsync;internal
WP_PRESENT_NOTIFY;0x00AD;S;token;user;2;2;SYS;AURORA;Presentation notify;internal
WP_PRESENT_ACK;0x00AE;S;token;user;2;2;SYS;AURORA;Presentation ack;internal
WP_PRESENT_CANCEL;0x00AF;S;token;user;2;2;SYS;AURORA;Presentation cancel;internal
WP_PRESENT_QUERY;0x00B0;S;token;user;2;2;SYS;AURORA;Presentation query;internal
WP_PRESENT_SET_MODE;0x00B1;S;mode;priv;10;0.5;SYS;AURORA;Set presentation mode;internal
WP_PRESENT_GET_MODE;0x00B2;S;out;user;2;2;SYS;AURORA;Get presentation mode;internal
WP_PRESENT_SET_PRIORITY;0x00B3;S;token,prio;priv;5;1;SYS;AURORA;Set presentation priority;internal
WP_PRESENT_GET_PRIORITY;0x00B4;S;token;user;2;2;SYS;AURORA;Get presentation priority;internal
VIRTIO_INIT;0x00B5;S;dev;priv;100;0.01;IO;HYBRID;Initialize virtio device;internal
VIRTIO_SEND;0x00B6;S;dev,buf,len;user;10;0.5;IO;HYBRID;Send virtio buffer;internal
VIRTIO_RECV;0x00B7;S;dev,out;user;10;0.5;IO;HYBRID;Receive virtio buffer;internal
VIRTIO_SHUTDOWN;0x00B8;S;dev;priv;20;0.1;IO;HYBRID;Shutdown virtio device;internal
PCI_PROBE;0x00B9;S;bus;priv;200;0.01;SYS;HYBRID;Probe PCI devices;internal
PCI_CONFIG_READ;0x00BA;S;dev,off;priv;5;1;SYS;HYBRID;Read PCI config;internal
PCI_CONFIG_WRITE;0x00BB;S;dev,off,val;priv;5;1;SYS;HYBRID;Write PCI config;internal
PCI_ENABLE_DEVICE;0x00BC;S;dev;priv;20;0.1;SYS;HYBRID;Enable PCI device;internal
PCI_DISABLE_DEVICE;0x00BD;S;dev;priv;20;0.1;SYS;HYBRID;Disable PCI device;internal
PCI_SET_MSI;0x00BE;S;dev,msi;priv;50;0.05;SYS;HYBRID;Configure MSI;internal
PCI_CLEAR_MSI;0x00BF;S;dev;priv;30;0.1;SYS;HYBRID;Clear MSI;internal
PCI_MAP_BAR;0x00C0;S;dev,bar;priv;40;0.02;SYS;HYBRID;Map BAR;internal
PCI_UNMAP_BAR;0x00C1;S;dev,bar;priv;30;0.05;SYS;HYBRID;Unmap BAR;internal
PCI_DMA_SETUP;0x00C2;S;dev,buf;priv;60;0.02;DMA;HYBRID;Setup PCI DMA;internal
PCI_DMA_TEARDOWN;0x00C3;S;dev;priv;40;0.05;DMA;HYBRID;Teardown PCI DMA;internal
PMEM_ALLOC;0x00C4;S;size;priv;100;0.01;MEM;HYBRID;Allocate persistent memory;internal
PMEM_FREE;0x00C5;S;addr;priv;50;0.02;MEM;HYBRID;Free persistent memory;internal
KERNEL_PANIC;0x00C6;S;code;priv;0;0;SYS;HYBRID;Trigger kernel panic;internal
REBOOT;0x00C7;S;mode;priv;1000;0.001;SYS;HYBRID;System reboot;internal
SHUTDOWN;0x00C8;S;mode;priv;1000;0.001;SYS;HYBRID;System shutdown;internal
SUSPEND;0x00C9;S;state;priv;500;0.01;SYS;HYBRID;Suspend to RAM;internal
RESUME;0x00CA;S;state;priv;500;0.01;SYS;HYBRID;Resume from suspend;internal
USER_MODE_ENTER;0x00CB;S;entry;priv;10;0.1;SYS;HYBRID;Enter user mode;internal
USER_MODE_EXIT;0x00CC;S;status;user;10;0.1;SYS;HYBRID;Exit to kernel;internal
PMU_READ;0x00CD;S;counter;priv;5;1;SYS;HYBRID;Read performance counter;internal
PMU_WRITE;0x00CE;S;counter,val;priv;5;1;SYS;HYBRID;Write performance counter;internal
PERF_SAMPLE;0x00CF;S;event;priv;50;0.1;SYS;HYBRID;Collect perf sample;internal
TRACE_MARK;0x00D0;S;tag;priv;1;10;SYS;HYBRID;Emit trace marker;internal
DEBUG_PRINT;0x00D1;S;buf,len;priv;2;2;SYS;HYBRID;Kernel debug print;internal
USER_YIELD;0x00D2;S;;user;1;10;SYS;HYBRID;User yield hint;internal
FENCE;0x00D3;S;;priv;1;10;SYS;HYBRID;Memory fence;internal
BARRIER;0x00D4;S;scope;priv;1;10;SYS;HYBRID;Synchronization barrier;internal
SEV;0x00D5;S;addr;priv;1;10;SYS;HYBRID;Send CPU event;internal
WFE;0x00D6;S;;priv;1;10;SYS;HYBRID;Wait for event;internal
CACHE_LINE_FLUSH;0x00D7;S;addr;priv;5;1;SYS;HYBRID;Flush cache line;internal
CACHE_LINE_INVALIDATE;0x00D8;S;addr;priv;5;1;SYS;HYBRID;Invalidate cache line;internal
TLB_FLUSH;0x00D9;S;addr;priv;100;0.01;SYS;HYBRID;Flush TLB;internal
TLB_INVALIDATE;0x00DA;S;addr;priv;80;0.02;SYS;HYBRID;Invalidate TLB;internal
PAGE_TABLE_MAP;0x00DB;S;vaddr,paddr;priv;60;0.02;MEM;HYBRID;Map page table entry;internal
PAGE_TABLE_UNMAP;0x00DC;S;vaddr;priv;40;0.05;MEM;HYBRID;Unmap page table entry;internal
KERNEL_ALLOC;0x00DD;S;size;priv;30;0.1;MEM;HYBRID;Allocate kernel memory;internal
KERNEL_FREE;0x00DE;S;addr;priv;20;0.2;MEM;HYBRID;Free kernel memory;internal
USER_ALLOC;0x00DF;S;size;user;50;0.05;MEM;HYBRID;Allocate user memory;internal
USER_FREE;0x00E0;S;addr;user;30;0.1;MEM;HYBRID;Free user memory;internal
MAP_IO_REGION;0x00E1;S;phys,len;priv;40;0.02;IO;HYBRID;Map IO region;internal
UNMAP_IO_REGION;0x00E2;S;vaddr;priv;30;0.05;IO;HYBRID;Unmap IO region;internal
IO_PORT_READ;0x00E3;S;port;priv;5;1;IO;HYBRID;Read IO port;internal
IO_PORT_WRITE;0x00E4;S;port,val;priv;5;1;IO;HYBRID;Write IO port;internal
SMP_SEND_IPI;0x00E5;S;cpu_mask;priv;10;0.5;SYS;HYBRID;Send IPI;internal
SMP_BROADCAST;0x00E6;S;msg;priv;20;0.1;SYS;HYBRID;Broadcast CPUs;internal
CPU_FREQ_SET;0x00E7;S;freq;priv;100;0.01;SYS;HYBRID;Set CPU frequency;internal
CPU_FREQ_GET;0x00E8;S;out;user;5;1;SYS;HYBRID;Get CPU frequency;internal
THERMAL_QUERY;0x00E9;S;out;user;5;1;SYS;HYBRID;Query thermal sensors;internal
THERMAL_SET_LIMIT;0x00EA;S;limit;priv;50;0.05;SYS;HYBRID;Set thermal limit;internal
LOG_ROTATE;0x00EB;S;policy;priv;200;0.01;SYS;HYBRID;Rotate logs;internal
CERT_VERIFY;0x00EC;S;cert;priv;150;0.02;SEC;HYBRID;Verify certificate chain;internal
KEYSTORE_STORE;0x00ED;S;key,meta;priv;200;0.01;SEC;HYBRID;Store key;internal
KEYSTORE_RETRIEVE;0x00EE;S;id;priv;150;0.02;SEC;HYBRID;Retrieve key;internal
AUDIT_QUERY;0x00EF;S;filter;priv;300;0.01;SYS;HYBRID;Query audit logs;internal
LICENSE_CHECK;0x00F0;S;artifact;priv;100;0.01;SEC;HYBRID;Check license;internal
UPDATE_APPLY;0x00F1;S;pkg;priv;1000;0.001;SYS;HYBRID;Apply system update;internal
ROLLBACK;0x00F2;S;version;priv;1000;0.001;SYS;HYBRID;Rollback system;internal
HEALTH_CHECK;0x00F3;S;out;user;10;0.5;SYS;HYBRID;System health check;internal
DIAGNOSTIC_RUN;0x00F4;S;test_id;priv;500;0.01;SYS;HYBRID;Run diagnostic;internal
METRICS_PUSH;0x00F5;S;metrics;user;5;1;SYS;HYBRID;Push metrics;internal
ALERT_RAISE;0x00F6;S;alert;priv;2;2;SYS;HYBRID;Raise alert;internal
ALERT_CLEAR;0x00F7;S;alert_id;priv;2;2;SYS;HYBRID;Clear alert;internal
LICENSE_ROTATE;0x00F8;S;new_key;priv;200;0.01;SEC;HYBRID;Rotate license key;internal
SECRETS_ROTATE;0x00F9;S;vault_id;priv;300;0.01;SEC;HYBRID;Rotate vault secrets;internal
BACKUP_CREATE;0x00FA;S;target;priv;1000;0.001;SYS;HYBRID;Create backup;internal
BACKUP_RESTORE;0x00FB;S;target;priv;1000;0.001;SYS;HYBRID;Restore backup;internal
QUOTA_CHECK;0x00FC;S;user;priv;50;0.05;SYS;HYBRID;Check quota;internal
QUOTA_ENFORCE;0x00FD;S;user;priv;100;0.01;SYS;HYBRID;Enforce quota;internal
SESSION_CREATE;0x00FE;S;user;user;50;0.05;SYS;HYBRID;Create user session;internal
SESSION_TERMINATE;0x00FF;S;sid;priv;50;0.05;SYS;HYBRID;Terminate session;internal
AUTH_CHALLENGE;0x0100;S;user;priv;20;0.1;SEC;HYBRID;Start auth challenge;internal
AUTH_VERIFY;0x0101;S;resp;priv;50;0.05;SEC;HYBRID;Verify auth response;internal
POLICY_EVAL;0x0102;S;policy,ctx;priv;100;0.01;SEC;HYBRID;Evaluate security policy;internal
POLICY_UPDATE;0x0103;S;policy;priv;200;0.01;SEC;HYBRID;Update security policy;internal
CERT_ROTATE;0x0104;S;cert;priv;300;0.01;SEC;HYBRID;Rotate certificate;internal
KEY_ROTATE;0x0105;S;key;priv;300;0.01;SEC;HYBRID;Rotate key;internal
AUDIT_EXPORT;0x0106;S;out;priv;500;0.01;SYS;HYBRID;Export audit logs;internal
CONFIG_GET;0x0107;M;key;user;5;2;SYS;HYBRID;Get config value;internal
CONFIG_SET;0x0108;M;key,val;priv;10;1;SYS;HYBRID;Set config value;internal
CONFIG_RELOAD;0x0109;S;;priv;200;0.01;SYS;HYBRID;Reload configuration;internal
LICENSE_QUERY;0x010A;S;out;user;5;2;SYS;HYBRID;Query license status;internal
METRICS_QUERY;0x010B;S;filter;user;50;0.05;SYS;HYBRID;Query metrics;internal
HEARTBEAT;0x010C;S;node;user;1;10;SYS;HYBRID;Send heartbeat;internal
CLUSTER_JOIN;0x010D;S;node;priv;500;0.01;SYS;HYBRID;Join cluster;internal
CLUSTER_LEAVE;0x010E;S;node;priv;500;0.01;SYS;HYBRID;Leave cluster;internal
SERVICE_START;0x010F;S;svc;priv;200;0.01;SYS;HYBRID;Start service;internal
SERVICE_STOP;0x0110;S;svc;priv;200;0.01;SYS;HYBRID;Stop service;internal
SERVICE_RESTART;0x0111;S;svc;priv;500;0.01;SYS;HYBRID;Restart service;internal
SERVICE_STATUS;0x0112;S;svc;user;5;2;SYS;HYBRID;Query service status;internal
LOG_LEVEL_SET;0x0113;S;svc,level;priv;10;1;SYS;HYBRID;Set log level;internal
LOG_LEVEL_GET;0x0114;S;svc;user;5;2;SYS;HYBRID;Get log level;internal
DIAG_UPLOAD;0x0115;S;pkg;priv;500;0.01;SYS;HYBRID;Upload diagnostic package;internal
