mnemonic;opcode;encoding;operands;privilege;latency;throughput;pipeline_stage;isa_family;notes;source_ref
TPM_EXTEND;0x0030;S;pcr,data;priv;200;0.01;SEC;HYBRID;Extend TPM PCR;internal
TPM_SEAL;0x0031;S;blob,policy;priv;300;0.01;SEC;HYBRID;Seal data to TPM;internal
TPM_UNSEAL;0x0032;S;blob;priv;300;0.01;SEC;HYBRID;Unseal data from TPM;internal
SIGN_VERIFY;0x0033;S;data,sig;priv;150;0.02;CRYPTO;HYBRID;Verify signature;internal
VERIFY_SIGNATURE;0x0034;S;pubkey,data,sig;priv;150;0.02;CRYPTO;HYBRID;Signature verification;internal
LOAD_MODULE;0x0035;S;path;priv;100;0.01;SYS;HYBRID;Load kernel module;internal
UNLOAD_MODULE;0x0036;S;name;priv;80;0.02;SYS;HYBRID;Unload kernel module;internal
MODULE_SIGN;0x0037;S;module,cert;priv;200;0.01;SEC;HYBRID;Sign module image;internal
MODULE_VERIFY;0x0038;S;module;priv;120;0.02;SEC;HYBRID;Verify module signature;internal
KASLR_RESEED;0x0039;S;seed;priv;50;0.1;SYS;HYBRID;Reseed KASLR entropy;internal
RNG_READ;0x003A;S;out,len;user;5;2;SYS;HYBRID;Read kernel RNG;internal
RNG_SEED;0x003B;S;seed;priv;100;0.01;SYS;HYBRID;Seed RNG;internal
HASH;0x003C;R;rd,rs;user;10;0.2;CRYPTO;R8192;Generic hash lane-wise;internal
SHA256;0x003D;R;rd,rs;user;40;0.05;CRYPTO;R8192;SHA-256 on wide lanes;internal
SHA512;0x003E;R;rd,rs;user;80;0.02;CRYPTO;R8192;SHA-512 on wide lanes;internal
AESENC;0x003F;R;rd,rs;user;12;0.2;CRYPTO;R8192;AES encrypt round;internal
AESDEC;0x0040;R;rd,rs;user;12;0.2;CRYPTO;R8192;AES decrypt round;internal
RSAKEYGEN;0x0041;S;params;priv;1000;0.001;CRYPTO;R8192;RSA key generation helper;internal
RSAMOD;0x0042;R;rd,rs,rt;priv;500;0.01;CRYPTO;R8192;RSA modular operation;internal
ECC_POINT_ADD;0x0043;R;rd,rs,rt;priv;200;0.02;CRYPTO;R8192;ECC point addition;internal
ECC_POINT_MUL;0x0044;R;rd,rs,rt;priv;600;0.01;CRYPTO;R8192;ECC scalar multiplication;internal
RNG_WAIT;0x0045;S;timeout;user;0;0;SYS;HYBRID;Wait for RNG readiness;internal
TRAP;0x0046;S;code;priv;1;1;CONTROL;HYBRID;Synchronous trap/exception;internal
SYS_CALL;0x0047;S;num,args;user;5;1;SYS;HYBRID;System call entry;internal
SVC;0x0048;S;num,args;priv;5;1;SYS;HYBRID;Supervisor call;internal
